DATA_MANAGE_NO,DATA_TITLE_NM,THEME_NM,LWPRT_THEME_NM,CL_NM,LWPRT_CL_NM,SBJT_NM,MIDDL_SBJT_NM,SUMRY_CN,MAIN_THUMB_URL,CNTNTS_URL,CTPRVN_NM,SIGNGU_NM,ADDR,CTLSTT_LA,CTLSTT_LO,REGIST_DE,CORE_KWRD_CN,OPN_DE,media_type,REFINED_KWRD_CN,IS_STORY,media_subtype
10612,예약제로 관람할 수 있는 의정부 서계 박세당 사랑채,생활문화,한국의 가옥,생활과 민속,생활,경기도의 가옥,반가(양반집),"당쟁에 혐오를 느낀 박세당은 40세에 관료 생활을 청산하고 의정부시 장암동에 내려와서 직접 농사를 짓고 학문을 연구하며 제자들을 가르쳤다. 서계 박세당 고택은 안채를 비롯한 안사랑, 바깥사랑, 행랑채로 이루어진 사대부가의 주택이었다. 한국전쟁 당시 대부분 불에 타버렸으며, 지금 남아 있는 것은 바깥사랑채뿐이다. 서계 박세당 사랑채는 경기도문화재자료 제93호로 지정되었다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/225/72625/66733/c/%EA%B2%BD%EA%B8%B0%EC%9D%98%EC%A0%95%EB%B6%80%EC%8B%9C-%EC%84%9C%EA%B3%84%EB%B0%95%EC%84%B8%EB%8B%B9%EC%82%AC%EB%9E%91%EC%B1%84-%EB%82%B4%EB%B6%80-%282%29-thumb.jpg,https://ncms.nculture.org/house/story/4894,경기도,의정부시,경기도 의정부시 동일로128번길 36,37.69977952,127.057643,20200613,"박세당, 사랑채, 의정부 서계, 서계 박세당 고택, 경기도 문화재",20221230,image,,N,image
10613,"조선 중기 청백리의 표상, 광명 오리 이원익 종택",생활문화,한국의 가옥,생활과 민속,생활,경기도의 가옥,종가(종갓집),"오리 이원익 종택은 경기도 광명시 소하2동 영당말에 있다. 오리 이원익은 조선시대 영의정을 역임하였으며 청백리의 표상으로 존경받고 있다. 오리 이원익 종택은 본래 2칸 초가집이었으나 비가 샌다는 소리에 인조 임금이 관감정을 지어 하사했다. 관감정은 지금은 관감당이 되었다. 오리 이원익 종택은 현대식으로 개조한 곳도 있으나, 20세기 경기지역 살림집의 모습을 잘 보존했다는 평가를 받는다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/52/85747/92947/c/광명-이원익종택-(1)_rev-thumb.jpg,https://ncms.nculture.org/house/story/4897,경기도,광명시,경기 광명시 오리로347번길 5-6 (소하동),37.4339273,126.8777258,20200613,"청백리, 광명 가옥, 이원익 종택, 인조, 오리 이원익",20221230,image,전통가옥; 역사/인물,N,image
10614,동학군의 근거지였던 백산성,역사문화유산,한국의 관방문화,문화유산,건축유적,전라북도 관방유적,성곽,백산성은 사적 제409호로 고부와 부안으로 갈라지는 백산면 용계리 해발 47.4m의 낮은 산 위에 있다. 이 성은 언제 축조되었는지는 명확하지 않지만 백제가 멸망한 후 백제부흥군이 일본에 있던 왕자 부여풍을 맞아 왕으로 세우고 최후 항쟁을 하였던 곳이다. 또한 백산성은 1894년 갑오동학농민항쟁 때 동학군이 일어났던 역사적인 산성이기도 하다. 이 성은 토성으로 알려져 있으며 백산 정상부를 감싸고 축조되어 있다.,https://minio.nculture.org/amsweb-opt/3ds/65/84670/84670_thumbnail.jpg,https://ncms.nculture.org/fortress/story/4937,전라북도,부안군,전북 부안군 백산면 용계리 산8-1번지,35.72006124,126.8066255,20200622,"산성, 백제부흥군, 동학, 백산, 부여풍",20221230,image,,N,image
10615,꽃담과 미닫이문 창살이 아름다운 성북동 이종석 별장,생활문화,한국의 가옥,생활과 민속,생활,서울의 가옥,민가(서민집),"서울 성북구 성북동에는 새우젓 장사로 부자가 된 이종석의 여름 별장이 있다. 이 별장은 1900년대에 건축한 것으로 추정되며, 현재는 덕수교회의 수양관으로 사용되고 있다. 거부의 별장답게 회색벽돌 꽃담, 마루로 연결된 미닫이문 창살, 늘어진 처마선과 마당의 갖가지 수목이 조화를 이루어 아름답다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/68/85763/93089/c/이종석별장-(1)_rev-thumb.jpg,https://ncms.nculture.org/house/story/4945,서울특별시,성북구,서울특별시 성북구 성북로 131,37.5941126,126.9944686,20200622,"성북동, 이종석 별장, 마포 새우젓 장사, 여름 별장, 덕수교회",20221230,image,,N,image
10616,민중의 모습을 새긴 소고리 마애불,역사문화유산,한국의 석조문화,문화유산,조각,불교 석조문화,석불,"소고리에 위치한 마애불은 단독의 마애여래좌상 1구와 그 아래 시대를 달리하는 삼존불좌상으로 이루어져 있다. 이곳 소고리는 경기도와 고려시대 개경을 연결하는 교통요지에 해당하는 곳으로, 전통적으로 중요 교통로 상에 사찰을 창건하고 불탑과 불상을 조성했던 전통에 따라 조성된 것으로 추정된다. 소고리 마애불상군은 마애여래좌상은 고려 중기 제작, 삼존불은 민간신앙과 불교가 결합된 형태의 조각상으로 불상의 개념보다는 민간신앙적 성격이 농후하다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/234/72368/65358/c/이천-소고리-마애여래좌상_문화재청_제1유형-thumb.jpg,https://ncms.nculture.org/stonecraft/story/4999,경기도,이천시,경기도 이천시 모가면 진상미로 1295,37.17169942,127.4801748,20200624,"마애불, 이천 소고리, 마애여래좌상, 마애삼존불좌상",20221230,image,불교/문화유산,N,image
10617,고려의 평안을 염원하는 사천 흥사리 매향비,역사문화유산,한국의 기록문화,문화유산,기타,경상도 대구 울산 부산의 기록문화,금석자료,"경상남도 사천시 곤양면 흥사리에는 고려 말기에 세워진 사천 흥사리 매향비가 있다. 매향비는 향나무를 갯벌에 묻은 후 그 사연을 돌에 새겨 주변에 세운 비석을 말한다. 힘들고 고된 삶을 사는 민중들이 미륵세계를 염원하는 미륵신앙과 관련되어 있다. 사천 흥사리 매향비에는 4,100명의 사람들이 모여 나라의 태평과 백성의 평안을 기원하며 매향 의식을 치렀음이 기록되어 있다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/245/72379/68345/c/%EC%82%AC%EC%B2%9C-%ED%9D%A5%EC%82%AC%EB%A6%AC-%EB%A7%A4%ED%96%A5%EB%B9%84%EB%AC%B8_%EB%AC%B8%ED%99%94%EC%9E%AC%EC%B2%AD_%EC%A0%9C1%EC%9C%A0%ED%98%95-thumb.jpg,https://ncms.nculture.org/archival/story/5020,경상남도,사천시,경남 사천시 곤양면 흥사리 836,35.08659396,128.0149624,20200626,"매향, 매향비, 미륵불, 침향, 미륵세계",20221230,image,,N,image
10618,왕건의 여덟째 아들 욱이 묻혔다는 경남 사천의 성황당산성,역사문화유산,한국의 관방문화,문화유산,건축유적,경상남도 관방유적,성곽,"경상남도 사천시 정동면 예수리에 소재한 성황당산 정상부에 성황당산성이 있다. 성황당산성은 삼국시대 만들어진 것으로 추정하며, 사천읍성이 만들어지기 전까지 읍성의 역할을 했던 곳이다. 이 산성이 있는 주변 마을에는 성황당산성 안에 왕건의 여덟째 아들인 왕욱의 무덤이 있었다는 이야기가 전해진다. 산성 안에 서낭신을 모시는 성황당이 있고, 이곳에서 매년 사천시민의 평안과 사천시의 발전을 기원하는 ‘성화당산성 산신제’가 열린다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/108/73320/71688/c/왕건의-여덟째-아들-욱이-묻혔다는-경남-사천의-성황당산성-thumb.jpg,https://ncms.nculture.org/fortress/story/5066,경상남도,사천시,경남 사천시 정동면 예수리 산 45-1,35.05761627,128.0987651,20200629,"고읍성, 왕욱, 헌종, 왕건, 사천, 성황당산성, 성황당산",20221230,image,역사/인물,N,image
10621,"부마의 집, 성북구 장위동 김진흥 가옥",생활문화,한국의 가옥,생활과 민속,생활,서울의 가옥,반가(양반집),"서울 성북구 장위동 김진흥 가옥은 조선 제23대 순조의 셋째 사위인 남령위 윤의선이 지은 집이라고도 하고, 제27대 순종의 부마가 살던 집이라고도 한다. 따라서 가옥의 건축연대는 1865년과 1925년으로 나뉜다. 상류 주택의 격식이 잘 갖추어진 집으로, 서울특별시 민속자료 제25호로 지정되었다. 성북구는 여기서 시민들이 참여하는 전통 혼례식과 성년식을 개최하였다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/247/72926/69023/c/장위동-김진흥가옥-내부_문화재청_제1유형-thumb.jpg,https://ncms.nculture.org/house/story/5103,서울특별시,성북구,서울특별시 성북구 돌곶이로34길 4-11,37.61619131,127.0519661,20200705,"덕온공주, 윤의선, 성북구 장위동, 김진흥 가옥, 윤용구",20221230,image,전통가옥; 생활/문화,N,image
10624,불교에 대한 인문학적 지식이 현학적으로 기록된 계룡산 갑사 사적비,역사문화유산,한국의 기록문화,문화유산,기타,충청도 대전 세종의 기록문화,금석자료,"충청남도 공주시 계룡면 갑사로에는 갑사(岬寺) 사적비가 세워져 있다. 이 비석은 갑사의 역사에 대해 소상히 기록하고 있다. 또한 갑사의 운영에 도움을 준 관료, 비석 제작에 관련한 인물들을 기록하였다. 불교의 역사와 사상적 특징 등에 대한 해박한 지식을 바탕으로 작성되었으며, 수사적 표현이 많고 다양한 전고들을 활용하였다는 점이 특징이다. 효종 10년인 1659년에 건립하여 오늘날까지 전해지고 있다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/144/72528/65682/c/계룡산-갑사-사적비_문화재청_제1유형-(1)-thumb.jpg,https://ncms.nculture.org/archival/story/5173,충청남도,공주시,충남 공주시 계룡면 갑사로 567-3,36.36607983,127.1864456,20200708,"계룡산, 갑사, 사적비",20221230,image,,N,image
10625,"병자호란 속 가족을 피난시켰던 여성의 기록, 남평조씨 병자일기",역사문화유산,한국의 기록문화,문화유산,기타,충청도 대전 세종의 기록문화,종이자료,"충청남도 공주시에 있는 국립공주박물관에는 『병자일기』가 소장되어 있다. 『병자일기』는 병자호란 당시 남이웅(南以雄)의 부인인 조애중(曺愛重)이 병자호란의 경험을 바탕으로 쓴 일기이다. 1636년 12월 16일부터 1640년 8월 9일까지의 기록을 담고 있다. 오늘날 전하는 여성 작가의 한글 일기 중 창작연대가 밝혀진 최초의 작품이다. 또한, 전란 당시 민간의 생활사를 소상히 담고 있다는 점에서 문화적 가치가 매우 높다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/102/72485/65590/c/남평조씨-병자일기-속지_문화재청_제4유형-thumb.jpg,https://ncms.nculture.org/archival/story/5176,충청남도,공주시,충남 공주시 관광단지길 34,36.46552912,127.1121799,20200708,"병자호란, 공주사대부가여성, 남평조씨, 병자일기",20221230,image,,N,image
